_id,_rev,Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET,row
968f63508625bd909c771299ac356381,1-0609dee68e4089f80c835fcccf05baa1,2018-1-1,Paraíso,-23.57677,-46.63933,70277,86,65,65,43,43,43,43,43,NORMAL,1
b8cd03e3690608d6d04f0fef20213215,1-0609dee68e4089f80c835fcccf05baa1,2018-1-1,Paraíso,-23.57677,-46.63933,70277,86,65,65,43,43,43,43,43,NORMAL,1
94ec5db7b6d50d21b3cb7f3938f38dd4,1-6e6b1be974ef69f4da5419cd795a003d,2018-1-4,Paraíso,-23.57677,-46.63933,71740,52,48,42,27,29,36,37,32,NORMAL,4
a16890362236a1a8bdb32a8c2148abaf,1-8cc70a8d42d92d61e6a11b718346ea2d,2018-1-5,Paraíso,-23.57677,-46.63933,71035,41,40,32,21,23,36,34,26,NORMAL,5
3d8ae1572574ad2497609aa2ccf775c1,1-8cc70a8d42d92d61e6a11b718346ea2d,2018-1-5,Paraíso,-23.57677,-46.63933,71035,41,40,32,21,23,36,34,26,NORMAL,5
28fa9376c93198998c39eccbee705425,1-8cc70a8d42d92d61e6a11b718346ea2d,2018-1-5,Paraíso,-23.57677,-46.63933,71035,41,40,32,21,23,36,34,26,NORMAL,5
227c90bba081ea78b236f7a43ac85e77,1-0af24bfe22dbeb1cdc99fa86e5271dc5,2018-1-6,Paraíso,-23.57677,-46.63933,73062,31,35,26,20,18,35,30,23,NORMAL,6
5868c552e3dc194a6e14c4f9fec061c4,1-e538d511fc44af26716ab24879fab956,2018-1-8,Paraíso,-23.57677,-46.63933,73471,14,23,10,13,14,27,24,14,NORMAL,8
87863217d9846acfab29923d0941a1c6,1-64c3a0c1ae258191b246c99219e89e0b,2018-1-9,Paraíso,-23.57677,-46.63933,71745,3,21,4,8,8,23,19,8,REABASTECER,9
3cadf532df30c5896723af349205a4e3,1-64c3a0c1ae258191b246c99219e89e0b,2018-1-9,Paraíso,-23.57677,-46.63933,71745,3,21,4,8,8,23,19,8,REABASTECER,9
23dc47d234aa63e6e5f2668bca00a63c,1-767fa8b45f526a5297fc648c6d025d75,2018-1-10,Paraíso,-23.57677,-46.63933,71195,86,16,65,3,5,21,13,3,NORMAL,10
81ce8f8ae5452821e41df6108be93a76,1-bc0ddfad2dc2c01d7d227018aa160723,2018-1-12,Paraíso,-23.57677,-46.63933,73336,62,5,49,40,39,16,5,40,REABASTECER,12
26bc2c82ab8d197ebd461e35ae3a3963,1-bc0ddfad2dc2c01d7d227018aa160723,2018-1-12,Paraíso,-23.57677,-46.63933,73336,62,5,49,40,39,16,5,40,REABASTECER,12
77a9d4897bda671ee0ad7a9e3aaffd27,1-d9afc80ca3f859a5a2d1a87161ac7b00,2018-1-13,Paraíso,-23.57677,-46.63933,72649,54,65,42,35,34,14,43,37,NORMAL,13
9e13eb21f7b2b92fcf8867265a31e860,1-dc103ec2f937f10d09c0aca2669f554a,2018-1-15,Paraíso,-23.57677,-46.63933,71712,37,56,27,27,24,9,38,32,NORMAL,15
b1792990061e28c0f1149a8c94de733f,1-dc103ec2f937f10d09c0aca2669f554a,2018-1-15,Paraíso,-23.57677,-46.63933,71712,37,56,27,27,24,9,38,32,NORMAL,15
f8b2781dfd332f9e5b010dcde6a7635a,1-dc103ec2f937f10d09c0aca2669f554a,2018-1-15,Paraíso,-23.57677,-46.63933,71712,37,56,27,27,24,9,38,32,NORMAL,15
26bc2c82ab8d197ebd461e35aed9f27b,1-3cfc55b10e85759628495e4f680ae3b6,2018-1-17,Paraíso,-23.57677,-46.63933,71466,19,43,13,23,14,5,27,24,REABASTECER,17
b3651c3aec38a4145328a8cc2664dd4b,1-f939ce4c2f78a1079d261769122b9db3,2018-1-18,Paraíso,-23.57677,-46.63933,74017,7,41,8,21,11,43,25,19,REABASTECER,18
65d293fc383bcb1418110876460d9408,1-f939ce4c2f78a1079d261769122b9db3,2018-1-18,Paraíso,-23.57677,-46.63933,74017,7,41,8,21,11,43,25,19,REABASTECER,18
26277e6a4c02f07898cd00b1983dae2d,1-226e0e0ef2786ddc8bf4e26adf1c37c1,2018-1-19,Paraíso,-23.57677,-46.63933,73271,86,39,65,16,5,43,23,14,REABASTECER,19
36873a8fe1ce5b5ebfaeb3ec9f86a126,1-226e0e0ef2786ddc8bf4e26adf1c37c1,2018-1-19,Paraíso,-23.57677,-46.63933,73271,86,39,65,16,5,43,23,14,REABASTECER,19
28fa9376c93198998c39eccbee2b0681,1-c241e1a3eaa2c929f44bb0c4732b69ee,2018-1-22,Paraíso,-23.57677,-46.63933,70165,54,19,48,43,36,35,11,4,NORMAL,22
525d3d05f32d6ffa87a6d591f3945df3,1-5ff5560fee0ae6e98644633169a2dfc6,2018-1-23,Paraíso,-23.57677,-46.63933,72116,46,14,44,41,33,30,8,43,NORMAL,23
26277e6a4c02f07898cd00b1989e6ed7,1-5ff5560fee0ae6e98644633169a2dfc6,2018-1-23,Paraíso,-23.57677,-46.63933,72116,46,14,44,41,33,30,8,43,NORMAL,23
cd5a0398feec105f2b6583b146cb948f,1-813eba9501ca3ce26b8d161d2eb1f424,2018-1-25,Paraíso,-23.57677,-46.63933,71449,28,1,33,32,23,29,43,34,REABASTECER,25
b3651c3aec38a4145328a8cc26705b7f,1-813eba9501ca3ce26b8d161d2eb1f424,2018-1-25,Paraíso,-23.57677,-46.63933,71449,28,1,33,32,23,29,43,34,REABASTECER,25
26277e6a4c02f07898cd00b198b4e236,1-898ee915d13380141ba023325995de28,2018-1-26,Paraíso,-23.57677,-46.63933,70869,18,65,27,26,18,28,41,31,NORMAL,26
37b48334dbf837ed1ac83bd0a5bcd4fd,1-878977af2c90f4757910c133eae69257,2018-1-28,Paraíso,-23.57677,-46.63933,71690,86,53,10,21,9,20,34,25,NORMAL,28
d6bd9c770ca5d117d3f9f312ddd67c87,1-878977af2c90f4757910c133eae69257,2018-1-28,Paraíso,-23.57677,-46.63933,71690,86,53,10,21,9,20,34,25,NORMAL,28
81ce8f8ae5452821e41df6108be9d3fa,1-394e5a863a18a51f84193fd39d2bf92d,2018-1-30,Paraíso,-23.57677,-46.63933,72120,63,42,65,16,1,17,25,18,REABASTECER,30
26277e6a4c02f07898cd00b1983dbb31,1-394e5a863a18a51f84193fd39d2bf92d,2018-1-30,Paraíso,-23.57677,-46.63933,72120,63,42,65,16,1,17,25,18,REABASTECER,30
5df9dd5367fbf50d65716b1f523652f7,1-591fcfe87b2a8d36d741176612d8d8af,2018-2-2,Paraíso,-23.57677,-46.63933,72022,44,30,47,10,37,11,18,12,NORMAL,32
37b48334dbf837ed1ac83bd0a5bd182d,1-c9498ea3524c92bba0f4df4db8d6b1a3,2018-2-5,Paraíso,-23.57677,-46.63933,73697,17,9,27,41,25,43,4,43,REABASTECER,35
e61ec3b717d6b34d019e7e6deb6e77bd,1-c9498ea3524c92bba0f4df4db8d6b1a3,2018-2-5,Paraíso,-23.57677,-46.63933,73697,17,9,27,41,25,43,4,43,REABASTECER,35
adc761eff780033487fe20f4b9df7188,1-b14336b2c9c9c3d9a08a41a67555cda6,2018-2-6,Paraíso,-23.57677,-46.63933,72241,7,65,21,41,20,41,43,41,NORMAL,36
4c7a2ca3678d21818f51fe21cc08203f,1-b14336b2c9c9c3d9a08a41a67555cda6,2018-2-6,Paraíso,-23.57677,-46.63933,72241,7,65,21,41,20,41,43,41,NORMAL,36
227c90bba081ea78b236f7a43a85add8,1-802578e2218896d7c69e52047b32bac7,2018-2-9,Paraíso,-23.57677,-46.63933,70834,64,46,65,34,9,37,27,29,NORMAL,39
3e61ff2516f050eeb505a4cef4668c4a,1-0558923109978bbf6be1bc71f704d267,2018-2-11,Paraíso,-23.57677,-46.63933,71207,38,28,48,29,43,32,15,21,NORMAL,41
28fa9376c93198998c39eccbee8f4027,1-37557fefd8ae8452e91772d6dafa0fdd,2018-2-12,Paraíso,-23.57677,-46.63933,73330,26,20,41,29,41,32,9,18,NORMAL,42
828521a9e7fb00d836d78cf24a117de7,1-37557fefd8ae8452e91772d6dafa0fdd,2018-2-12,Paraíso,-23.57677,-46.63933,73330,26,20,41,29,41,32,9,18,NORMAL,42
c6a6dd47f3a7bf26b6bbdafb2d5ca9c5,1-7e350b5136bcc8f2d64b5f44da24b93a,2018-2-13,Paraíso,-23.57677,-46.63933,73301,18,16,33,24,38,32,4,13,REABASTECER,43
5df9dd5367fbf50d65716b1f5252d55f,1-7e350b5136bcc8f2d64b5f44da24b93a,2018-2-13,Paraíso,-23.57677,-46.63933,73301,18,16,33,24,38,32,4,13,REABASTECER,43
